product_id,legacy_product_code,sku,product_name,brand,department,category,supplier_id,launch_date,discontinue_date,standard_cost,list_price,product_status
PRD-00001,LEG-100000,AUR-000001,Aurelia Select Fragrance Product 1,Aurelia Select,Beauty & Personal Care,Fragrance,SUP-043,2020-06-04,,26.82,50.56,Active
PRD-00002,LEG-100001,AUR-000002,Luma Kitchen Product 2,Mira,Home & Living,Kitchen,SUP-055,2020-07-17,,419.77,887.45,Active
PRD-00003,LEG-100002,AUR-000003,Nova Fitness Product 3,Nova,Sport & Lifestyle,Fitness,SUP-020,2026-04-08,,12.28,17.02,Active
PRD-00004,LEG-100003,AUR-000004,Solara Fitness Product 4,Luma,Sport & Lifestyle,Fitness,SUP-056,2022-03-06,,35.57,43.81,Active
PRD-00005,LEG-100004,AUR-000005,Orion Furniture Product 5,Solara,Home & Living,Furniture,SUP-006,2021-12-26,2023-09-21,60.94,79.34,Discontinued
PRD-00006,LEG-100005,AUR-000006,Vela Smart Product 6,Nova,Electronics & Accessories,Smart Devices,SUP-046,2021-08-08,,38.85,54.26,Active
PRD-00007,LEG-100006,AUR-000007,Luma Travel Product 7,Vela,Sport & Lifestyle,Travel,SUP-021,2024-05-01,,59.81,76.67,Active
PRD-00008,LEG-100007,AUR-000008,Aurelia Select Bedding Product 8,Luma,Home & Living,Bedding,SUP-043,2020-12-05,,23.82,29.55,Active
PRD-00009,LEG-100008,AUR-000009,Orion Haircare Product 9,Luma,Beauty & Personal Care,Haircare,SUP-014,2023-08-24,,30.72,58.98,Active
PRD-00010,LEG-100009,AUR-000010,Mira Skincare Product 10,Vela,Beauty & Personal Care,Skincare,SUP-026,2024-02-01,,104.8,147.12,Active
PRD-00011,LEG-100010,AUR-000011,Orion Fragrance Product 11,Vela,Beauty & Personal Care,Fragrance,SUP-029,2023-05-21,2024-07-19,34.52,45.48,Discontinued
PRD-00012,LEG-100011,AUR-000012,Pulse Men's Product 12,Solara,Fashion & Accessories,Men's Clothing,SUP-036,2022-11-10,,22.32,45.54,Active
PRD-00013,LEG-100012,AUR-000013,Solara Footwear Product 13,Pulse,Fashion & Accessories,Footwear,SUP-069,2020-10-05,,61.07,124.78,Active
